source,supplierName,sourceUrl,externalId,name,brand,manufacturer,category,unit,currency,price,quantity,catalogOnly,description
solventum-official,Solventum,https://www.solventum.com/en-us/home/f/b5005092007/,solventum-filtek-universal,3M Filtek Universal Restorative,Solventum,Solventum Corporation,Композитные материалы,шт,,,,true,Универсальный реставрационный композит. Оттенок и форма выпуска указываются в варианте товара.
solventum-official,Solventum,https://www.solventum.com/en-us/home/f/b00008028/,solventum-filtek-one-bulk-fill,3M Filtek One Bulk Fill Restorative,Solventum,Solventum Corporation,Композитные материалы,шт,,,,true,Композит для однослойного внесения в боковых реставрациях. Шприцы капсулы и оттенки представлены вариантами одной карточки.
solventum-official,Solventum,https://www.solventum.com/en-us/home/f/B5005223013/,solventum-scotchbond-universal-plus,3M Scotchbond Universal Plus Adhesive,Solventum,Solventum Corporation,Адгезивные системы,шт,,,,true,Универсальный однокомпонентный адгезив. Флаконы наборы и одноразовые дозы представлены вариантами одной карточки.
solventum-official,Solventum,https://www.solventum.com/en-us/home/f/b5005223005/,solventum-relyx-universal,3M RelyX Universal Resin Cement,Solventum,Solventum Corporation,Стоматологические цементы,шт,,,,true,Универсальный композитный цемент двойного отверждения. Оттенок и комплектация указываются в варианте товара.
solventum-official,Solventum,https://www.solventum.com/en-il/home/f/b00005791/,solventum-clinpro-white-varnish,3M Clinpro White Varnish,Solventum,Solventum Corporation,Профилактические материалы,шт,,,,true,Фторсодержащий лак для профессионального применения. Вкус количество доз и фасовка указываются в варианте товара.
kerr-official,Kerr,https://www.kerrdental.com/en-uk/harmonize,kerr-harmonize,Kerr Harmonize,Kerr,Kerr Corporation,Композитные материалы,шт,,,,true,Универсальный наногибридный композит для прямых реставраций. Оттенок форма выпуска и фасовка указываются в варианте товара.
kerr-official,Kerr,https://www.kerrdental.com/en-ae/optibond-universal,kerr-optibond-universal,Kerr OptiBond Universal,Kerr,Kerr Corporation,Адгезивные системы,шт,,,,true,Универсальный однокомпонентный адгезив для разных техник протравливания. Наборы флаконы и одноразовые дозы представлены вариантами одной карточки.
kerr-official,Kerr,https://www.kerrdental.com/en-ca/simplishade,kerr-simplishade,Kerr SimpliShade Universal Composite,Kerr,Kerr Corporation,Композитные материалы,шт,,,,true,Универсальный композит с упрощённой системой оттенков. Оттенок и форма выпуска указываются в варианте товара.
kerr-official,Kerr,https://www.kerrdental.com/en-fi/dental-restoration-products/maxcem-elite-chroma-permanent-dental-cements-and-liners,kerr-maxcem-elite-chroma,Kerr Maxcem Elite Chroma,Kerr,Kerr Corporation,Стоматологические цементы,шт,,,,true,Самоадгезивный композитный цемент двойного отверждения с цветовым индикатором очистки. Оттенок и комплектация указываются в варианте товара.
gc-official,GC,https://www.gc.dental/europe/en-GP/products/gaenialachord,gc-gaenial-achord,GC G-ænial A'CHORD,GC,GC Corporation,Композитные материалы,шт,,,,true,Универсальный композит для прямых реставраций передних и боковых зубов. Оттенок шприц или унидоза и фасовка указываются в варианте товара.
gc-official,GC,https://www.gc.dental/europe/en-GB/products/gpremiobond,gc-g-premio-bond,GC G-Premio BOND,GC,GC Corporation,Адгезивные системы,шт,,,,true,Универсальный однокомпонентный светоотверждаемый адгезив. Флакон набор или одноразовые дозы указываются в варианте товара.
gc-official,GC,https://www.gc.dental/europe/en-GB/products/gcemone,gc-g-cem-one,GC G-CEM ONE,GC,GC Corporation,Стоматологические цементы,шт,,,,true,Универсальный самоадгезивный композитный цемент двойного отверждения. Оттенок набор и количество шприцев указываются в варианте товара.
gc-official,GC,https://www.gc.dental/europe/en-GB/products/fujicemevolve,gc-fujicem-evolve,GC FujiCEM Evolve,GC,GC Corporation,Стоматологические цементы,шт,,,,true,Модифицированный смолой стеклоиономерный цемент для фиксации. Количество шприцев способ смешивания и наконечники указываются в варианте товара.
gc-official,GC,https://www.gc.dental/europe/en-GB/products/equiaforteht,gc-equia-forte-ht,GC EQUIA Forte HT,GC,GC Corporation,Стеклоиономерные материалы,шт,,,,true,Стеклогибридная реставрационная система для объёмного внесения. Оттенок количество капсул и комплектация указываются в варианте товара.
voco-official,VOCO,https://www.voco.dental/in/products/direct-restoration/composite/grandioso.aspx,voco-grandioso,VOCO GrandioSO,VOCO,VOCO GmbH,Композитные материалы,шт,,,,true,Универсальный наногибридный композит для прямых реставраций передних и боковых зубов. Оттенок шприц или капсулы и фасовка указываются в варианте товара.
voco-official,VOCO,https://www.voco.dental/in/products/direct-restoration/composites/admira-fusion.aspx,voco-admira-fusion,VOCO Admira Fusion,VOCO,VOCO GmbH,Композитные материалы,шт,,,,true,Универсальный наногибридный реставрационный материал на основе ORMOCER. Оттенок шприц или капсулы и фасовка указываются в варианте товара.
voco-official,VOCO,https://www.voco.dental/in/products/direct-restoration/bonding/futurabond-u.aspx,voco-futurabond-u,VOCO Futurabond U,VOCO,VOCO GmbH,Адгезивные системы,шт,,,,true,Универсальный адгезив двойного отверждения для прямых и непрямых реставраций. Флакон одноразовые дозы и комплектация указываются в варианте товара.
voco-official,VOCO,https://www.voco.dental/en/products/indirect-restoration/luting/bifix-qm.aspx,voco-bifix-qm,VOCO Bifix QM,VOCO,VOCO GmbH,Стоматологические цементы,шт,,,,true,Универсальный композитный цемент двойного отверждения для постоянной фиксации реставраций. Оттенок набор и фасовка указываются в варианте товара.
voco-official,VOCO,https://www.voco.dental/en/products/oral-care/desensitizer/voco-profluorid-varnish.aspx,voco-profluorid-varnish,VOCO Profluorid Varnish,VOCO,VOCO GmbH,Профилактические материалы,шт,,,,true,Фторсодержащий лак с 5% фторида натрия для чувствительных зубов и корневых поверхностей. Вкус тюбик картридж или одноразовые дозы и фасовка указываются в варианте товара.
