priority,brand,manufacturer,currentCards,canonicalProductName,category,productType,officialProductUrl,kzPartnerCandidates,evidenceStatus,contentStatus,imageStatus,offerStatus,notes
1,NSK,Nakanishi Inc.,0,NSK Surgic Pro2,Хирургические моторы,equipment,https://www.japan.nsk-dental.com/products/surgical/surgical-surgicpro2/?simply_static_page=1041550,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Packages and handpieces belong in offers or variants
1,NSK,Nakanishi Inc.,0,NSK VarioSurg 4,Пьезохирургические аппараты,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Confirm Kazakhstan availability before publication
1,NSK,Nakanishi Inc.,0,NSK ENDO-MATE TC2,Эндодонтические моторы,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Official current catalog model
1,NSK,Nakanishi Inc.,0,NSK iPex II,Апекслокаторы,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Official current catalog model
1,NSK,Nakanishi Inc.,0,NSK iCare,Уход за наконечниками,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Automatic handpiece maintenance system
2,Solventum,Solventum Corporation,0,3M Filtek Universal Restorative,Композитные материалы,consumable,https://www.solventum.com/en-us/home/f/b5005092007/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Resolve pack size and shade as variants
2,Solventum,Solventum Corporation,0,3M Filtek One Bulk Fill Restorative,Композитные материалы,consumable,https://www.solventum.com/en-us/home/f/b00008028/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Resolve syringe and capsule packages as variants
2,Solventum,Solventum Corporation,0,3M Scotchbond Universal Plus Adhesive,Адгезивные системы,consumable,https://www.solventum.com/en-us/home/f/B5005223013/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Use current Solventum manufacturer while retaining searchable 3M alias
2,Solventum,Solventum Corporation,0,3M RelyX Universal Resin Cement,Стоматологические цементы,consumable,https://www.solventum.com/en-us/home/f/b5005223005/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shade and refill format are variants
2,Solventum,Solventum Corporation,0,3M Clinpro White Varnish,Профилактические материалы,consumable,https://www.solventum.com/en-il/home/f/b00005791/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Flavor and dose count are variants
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar Tetric Prime,Композитные материалы,consumable,https://www.ivoclar.com/en_us/products/composites/tetric-prime,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Shade and syringe pack belong in variants
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar Variolink Esthetic,Стоматологические цементы,consumable,https://www.ivoclar.com/fr_fr/products/cementation/variolink-esthetic,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,DC and LC forms need separate variants
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar Adhese Universal,Адгезивные системы,consumable,https://www.ivoclar.com/,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_FAMILY_SOURCE,EXACT_MODEL_SOURCE_REQUIRED,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Confirm current packaging
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar IPS e.max ZirCAD Prime,Материалы CAD/CAM,consumable,https://www.ivoclar.com/,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_FAMILY_SOURCE,EXACT_MODEL_SOURCE_REQUIRED,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Dimensions and shades are variants
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar Bluephase PowerCure,Полимеризационные лампы,equipment,https://www.ivoclar.com/,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_FAMILY_SOURCE,EXACT_MODEL_SOURCE_REQUIRED,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,One model card per device generation
2,Tokuyama Dental,Tokuyama Dental Corporation,6,Tokuyama Palfique Omnichroma,Композитные материалы,consumable,https://tokuyama-dental.com/products/composites/,Proteco Asia,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,MANUFACTURER_CONFIRMATION_REQUIRED,Check whether local packaging uses Omnichroma or Palfique Omnichroma name
2,Tokuyama Dental,Tokuyama Dental Corporation,6,Tokuyama Estelite Posterior,Композитные материалы,consumable,https://tokuyama-dental.com/products/composites/universal/estelite-posterior/,Proteco Asia,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,MANUFACTURER_CONFIRMATION_REQUIRED,Shades PA1 PA2 PA3 and PCE are variants
2,Tokuyama Dental,Tokuyama Dental Corporation,6,Tokuyama Palfique Universal Bond,Адгезивные системы,consumable,https://tokuyama-dental.com/products/bonding-agents/,Proteco Asia,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,MANUFACTURER_CONFIRMATION_REQUIRED,Confirm regional product naming
2,Tokuyama Dental,Tokuyama Dental Corporation,6,Tokuyama Shield Force Plus,Десенситайзеры,consumable,https://tokuyama-dental.com/products/,Proteco Asia,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,MANUFACTURER_CONFIRMATION_REQUIRED,Confirm Kazakhstan availability
2,Kerr,Kerr Corporation,0,Kerr Harmonize,Композитные материалы,consumable,https://www.kerrdental.com/en-uk/harmonize,LUCH LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shade syringe and unidose belong in variants
2,Kerr,Kerr Corporation,0,Kerr OptiBond Universal,Адгезивные системы,consumable,https://www.kerrdental.com/en-ae/optibond-universal,LUCH LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Bottle kit refill and unidose belong in variants
2,Kerr,Kerr Corporation,0,Kerr SimpliShade Universal Composite,Композитные материалы,consumable,https://www.kerrdental.com/en-ca/simplishade,LUCH LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Light medium and dark shades belong in variants
2,Kerr,Kerr Corporation,0,Kerr Maxcem Elite Chroma,Стоматологические цементы,consumable,https://www.kerrdental.com/en-fi/dental-restoration-products/maxcem-elite-chroma-permanent-dental-cements-and-liners,LUCH LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Standard kit refills shades and tips belong in variants
2,GC,GC Corporation,3,GC G-ænial A'CHORD,Композитные материалы,consumable,https://www.gc.dental/europe/en-GP/products/gaenialachord,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shades syringes and unitips belong in variants
2,GC,GC Corporation,3,GC G-Premio BOND,Адгезивные системы,consumable,https://www.gc.dental/europe/en-GB/products/gpremiobond,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Bottle unit dose and activator belong in variants
2,GC,GC Corporation,3,GC G-CEM ONE,Стоматологические цементы,consumable,https://www.gc.dental/europe/en-GB/products/gcemone,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shades kits refills and tips belong in variants
2,GC,GC Corporation,3,GC FujiCEM Evolve,Стоматологические цементы,consumable,https://www.gc.dental/europe/en-GB/products/fujicemevolve,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Single and triple packs belong in variants
2,GC,GC Corporation,3,GC EQUIA Forte HT,Стеклоиономерные материалы,consumable,https://www.gc.dental/europe/en-GB/products/equiaforteht,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shades capsule counts coat and conditioner belong in variants
2,VOCO,VOCO GmbH,3,VOCO GrandioSO,Композитные материалы,consumable,https://www.voco.dental/in/products/direct-restoration/composite/grandioso.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Shades syringes and caps belong in variants
2,VOCO,VOCO GmbH,3,VOCO Admira Fusion,Композитные материалы,consumable,https://www.voco.dental/in/products/direct-restoration/composites/admira-fusion.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Shades syringes caps and kits belong in variants
2,VOCO,VOCO GmbH,3,VOCO Futurabond U,Адгезивные системы,consumable,https://www.voco.dental/in/products/direct-restoration/bonding/futurabond-u.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Bottle SingleDose counts and kit belong in variants
2,VOCO,VOCO GmbH,3,VOCO Bifix QM,Стоматологические цементы,consumable,https://www.voco.dental/en/products/indirect-restoration/luting/bifix-qm.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Shades set and syringe refills belong in variants
2,VOCO,VOCO GmbH,3,VOCO Profluorid Varnish,Профилактические материалы,consumable,https://www.voco.dental/en/products/oral-care/desensitizer/voco-profluorid-varnish.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Flavours tubes cartridges SingleDose counts and mixed packs belong in variants
